
Path                                                    ExistsLocally ExistsOnGitHubMain
----                                                    ------------- ------------------
artmach_assistant/core/workspace_manager.py                     False              False
artmach_assistant/core/workspace_refactoring_service.py         False              False
artmach_assistant/core/git_workspace_service.py                 False              False
artmach_assistant/core/research_journal_closeout.py             False              False
artmach_assistant/core/dead_code_detector.py                    False              False
core/workspace_manager.py                                        True               True
core/workspace_refactoring_service.py                            True               True
core/git_workspace_service.py                                    True               True
core/research_journal_closeout.py                               False              False
core/dead_code_detector.py                                       True               True



